ID,Nom_Pays,Zone
1,Palestine,East Jerusalem
2,Palestine,Gaza Strip
3,Palestine,Gaza Strip
4,Palestine,Gaza Strip
5,Palestine,Gaza Strip
6,Palestine,Gaza Strip
7,Palestine,The West Bank (Excluding East Jerusalem)
8,Palestine,The West Bank (Excluding East Jerusalem)
9,Palestine,The West Bank (Excluding East Jerusalem)
10,Palestine,The West Bank (Excluding East Jerusalem)
11,Palestine,The West Bank (Excluding East Jerusalem)
12,Palestine,The West Bank (Excluding East Jerusalem)
13,Palestine,The West Bank (Excluding East Jerusalem)
14,Palestine,The West Bank (Excluding East Jerusalem)
15,Palestine,The West Bank (Excluding East Jerusalem)
16,Palestine,The West Bank (Excluding East Jerusalem)
17,Palestine,The West Bank (Excluding East Jerusalem)
18,Palestine,The West Bank (Excluding East Jerusalem)
19,Palestine,The West Bank (Excluding East Jerusalem)
20,Palestine,Gaza Strip
21,Palestine,Gaza Strip
22,Palestine,Gaza Strip
23,Palestine,Gaza Strip
24,Palestine,Gaza Strip
25,Palestine,East Jerusalem
26,Palestine,Gaza Strip
27,Palestine,The West Bank (Excluding East Jerusalem)
28,Palestine,The West Bank (Excluding East Jerusalem)
29,Palestine,The West Bank (Excluding East Jerusalem)
30,Palestine,The West Bank (Excluding East Jerusalem)
31,Palestine,The West Bank (Excluding East Jerusalem)
32,Palestine,The West Bank (Excluding East Jerusalem)
33,Palestine,The West Bank (Excluding East Jerusalem)
34,Palestine,The West Bank (Excluding East Jerusalem)
35,Palestine,The West Bank (Excluding East Jerusalem)
36,Palestine,The West Bank (Excluding East Jerusalem)
37,Palestine,The West Bank (Excluding East Jerusalem)
38,Palestine,The West Bank (Excluding East Jerusalem)
39,Palestine,The West Bank (Excluding East Jerusalem)
40,Palestine,The West Bank (Excluding East Jerusalem)
41,Palestine,East Jerusalem
42,Palestine,Gaza Strip
43,Palestine,Gaza Strip
44,Palestine,Gaza Strip
45,Palestine,Gaza Strip
46,Palestine,Gaza Strip
47,Palestine,The West Bank (Excluding East Jerusalem)
48,Palestine,The West Bank (Excluding East Jerusalem)
49,Palestine,The West Bank (Excluding East Jerusalem)
50,Palestine,The West Bank (Excluding East Jerusalem)
51,Palestine,The West Bank (Excluding East Jerusalem)
52,Palestine,The West Bank (Excluding East Jerusalem)
53,Palestine,The West Bank (Excluding East Jerusalem)
54,Palestine,The West Bank (Excluding East Jerusalem)
55,Palestine,The West Bank (Excluding East Jerusalem)
56,Palestine,The West Bank (Excluding East Jerusalem)
57,Palestine,The West Bank (Excluding East Jerusalem)
58,Palestine,The West Bank (Excluding East Jerusalem)
59,Palestine,East Jerusalem
60,Palestine,East Jerusalem
61,Palestine,Gaza Strip
62,Palestine,Gaza Strip
63,Palestine,Gaza Strip
64,Palestine,Gaza Strip
65,Palestine,Gaza Strip
66,Palestine,The West Bank (Excluding East Jerusalem)
67,Palestine,The West Bank (Excluding East Jerusalem)
68,Palestine,The West Bank (Excluding East Jerusalem)
69,Palestine,The West Bank (Excluding East Jerusalem)
70,Palestine,The West Bank (Excluding East Jerusalem)
71,Palestine,The West Bank (Excluding East Jerusalem)
72,Palestine,The West Bank (Excluding East Jerusalem)
73,Palestine,The West Bank (Excluding East Jerusalem)
74,Palestine,East Jerusalem
75,Palestine,East Jerusalem
76,Palestine,Gaza Strip
77,Palestine,Gaza Strip
78,Palestine,Gaza Strip
79,Palestine,Gaza Strip
80,Palestine,The West Bank (Excluding East Jerusalem)
81,Palestine,The West Bank (Excluding East Jerusalem)
82,Palestine,The West Bank (Excluding East Jerusalem)
83,Palestine,The West Bank (Excluding East Jerusalem)
84,Palestine,The West Bank (Excluding East Jerusalem)
85,Palestine,The West Bank (Excluding East Jerusalem)
86,Palestine,East Jerusalem
87,Palestine,East Jerusalem
88,Palestine,East Jerusalem
89,Palestine,The West Bank (Excluding East Jerusalem)
90,Palestine,The West Bank (Excluding East Jerusalem)
91,Palestine,The West Bank (Excluding East Jerusalem)
92,Palestine,The West Bank (Excluding East Jerusalem)
93,Palestine,The West Bank (Excluding East Jerusalem)
94,Palestine,The West Bank (Excluding East Jerusalem)
95,Palestine,The West Bank (Excluding East Jerusalem)
96,Palestine,The West Bank (Excluding East Jerusalem)
97,Palestine,East Jerusalem
98,Palestine,East Jerusalem
99,Palestine,Gaza Strip
100,Palestine,Gaza Strip
101,Palestine,Gaza Strip
102,Palestine,The West Bank (Excluding East Jerusalem)
103,Palestine,The West Bank (Excluding East Jerusalem)
104,Palestine,The West Bank (Excluding East Jerusalem)
105,Palestine,The West Bank (Excluding East Jerusalem)
106,Palestine,The West Bank (Excluding East Jerusalem)
107,Palestine,The West Bank (Excluding East Jerusalem)
108,Palestine,The West Bank (Excluding East Jerusalem)
109,Palestine,The West Bank (Excluding East Jerusalem)
110,Palestine,The West Bank (Excluding East Jerusalem)
111,Palestine,East Jerusalem
112,Palestine,East Jerusalem
113,Palestine,Gaza Strip
114,Palestine,The West Bank (Excluding East Jerusalem)
115,Palestine,The West Bank (Excluding East Jerusalem)
116,Palestine,The West Bank (Excluding East Jerusalem)
117,Palestine,The West Bank (Excluding East Jerusalem)
118,Palestine,The West Bank (Excluding East Jerusalem)
119,Palestine,The West Bank (Excluding East Jerusalem)
120,Palestine,The West Bank (Excluding East Jerusalem)
121,Palestine,The West Bank (Excluding East Jerusalem)
122,Palestine,The West Bank (Excluding East Jerusalem)
123,Palestine,East Jerusalem
124,Palestine,East Jerusalem
125,Palestine,East Jerusalem
126,Palestine,East Jerusalem
127,Palestine,The West Bank (Excluding East Jerusalem)
128,Palestine,The West Bank (Excluding East Jerusalem)
129,Palestine,The West Bank (Excluding East Jerusalem)
130,Palestine,The West Bank (Excluding East Jerusalem)
131,Palestine,The West Bank (Excluding East Jerusalem)
132,Palestine,The West Bank (Excluding East Jerusalem)
133,Palestine,The West Bank (Excluding East Jerusalem)
134,Palestine,The West Bank (Excluding East Jerusalem)
135,Palestine,The West Bank (Excluding East Jerusalem)
136,Palestine,East Jerusalem
137,Palestine,East Jerusalem
138,Palestine,East Jerusalem
139,Palestine,The West Bank (Excluding East Jerusalem)
140,Palestine,The West Bank (Excluding East Jerusalem)
141,Palestine,The West Bank (Excluding East Jerusalem)
142,Palestine,The West Bank (Excluding East Jerusalem)
143,Palestine,The West Bank (Excluding East Jerusalem)
144,Palestine,The West Bank (Excluding East Jerusalem)
145,Palestine,The West Bank (Excluding East Jerusalem)
146,Palestine,East Jerusalem
147,Palestine,East Jerusalem
148,Palestine,East Jerusalem
149,Palestine,East Jerusalem
150,Palestine,The West Bank (Excluding East Jerusalem)
151,Palestine,The West Bank (Excluding East Jerusalem)
152,Palestine,The West Bank (Excluding East Jerusalem)
153,Palestine,East Jerusalem
154,Palestine,The West Bank (Excluding East Jerusalem)
155,Palestine,The West Bank (Excluding East Jerusalem)
156,Palestine,The West Bank (Excluding East Jerusalem)
157,Palestine,The West Bank (Excluding East Jerusalem)
158,Palestine,The West Bank (Excluding East Jerusalem)
159,Palestine,The West Bank (Excluding East Jerusalem)
160,Palestine,The West Bank (Excluding East Jerusalem)
161,Palestine,East Jerusalem
162,Palestine,East Jerusalem
163,Palestine,East Jerusalem
164,Palestine,East Jerusalem
165,Palestine,The West Bank (Excluding East Jerusalem)
166,Palestine,The West Bank (Excluding East Jerusalem)
167,Palestine,The West Bank (Excluding East Jerusalem)
168,Palestine,The West Bank (Excluding East Jerusalem)
169,Palestine,East Jerusalem
170,Palestine,East Jerusalem
171,Palestine,The West Bank (Excluding East Jerusalem)
172,Palestine,The West Bank (Excluding East Jerusalem)
173,Palestine,The West Bank (Excluding East Jerusalem)
174,Palestine,The West Bank (Excluding East Jerusalem)
175,Palestine,The West Bank (Excluding East Jerusalem)
176,Palestine,The West Bank (Excluding East Jerusalem)
177,Palestine,The West Bank (Excluding East Jerusalem)
178,Palestine,East Jerusalem
179,Palestine,East Jerusalem
180,Palestine,East Jerusalem
181,Palestine,East Jerusalem
182,Palestine,The West Bank (Excluding East Jerusalem)
183,Palestine,The West Bank (Excluding East Jerusalem)
184,Palestine,The West Bank (Excluding East Jerusalem)
185,Palestine,The West Bank (Excluding East Jerusalem)
186,Palestine,The West Bank (Excluding East Jerusalem)
187,Palestine,The West Bank (Excluding East Jerusalem)
188,Palestine,East Jerusalem
189,Palestine,The West Bank (Excluding East Jerusalem)
190,Palestine,The West Bank (Excluding East Jerusalem)
191,Palestine,The West Bank (Excluding East Jerusalem)
192,Palestine,The West Bank (Excluding East Jerusalem)
193,Palestine,The West Bank (Excluding East Jerusalem)
194,Palestine,The West Bank (Excluding East Jerusalem)
195,Palestine,The West Bank (Excluding East Jerusalem)
196,Palestine,East Jerusalem
197,Palestine,East Jerusalem
198,Palestine,East Jerusalem
199,Palestine,East Jerusalem
200,Palestine,The West Bank (Excluding East Jerusalem)
201,Palestine,The West Bank (Excluding East Jerusalem)
202,Palestine,The West Bank (Excluding East Jerusalem)
203,Palestine,The West Bank (Excluding East Jerusalem)
204,Palestine,The West Bank (Excluding East Jerusalem)
205,Palestine,East Jerusalem
206,Palestine,The West Bank (Excluding East Jerusalem)
207,Palestine,The West Bank (Excluding East Jerusalem)
208,Palestine,The West Bank (Excluding East Jerusalem)
209,Palestine,The West Bank (Excluding East Jerusalem)
210,Palestine,The West Bank (Excluding East Jerusalem)
211,Palestine,The West Bank (Excluding East Jerusalem)
212,Palestine,The West Bank (Excluding East Jerusalem)
213,Palestine,The West Bank (Excluding East Jerusalem)
214,Palestine,East Jerusalem
215,Palestine,East Jerusalem
216,Palestine,East Jerusalem
217,Palestine,East Jerusalem
218,Palestine,The West Bank (Excluding East Jerusalem)
219,Palestine,The West Bank (Excluding East Jerusalem)
220,Palestine,The West Bank (Excluding East Jerusalem)
221,Palestine,The West Bank (Excluding East Jerusalem)
222,Palestine,The West Bank (Excluding East Jerusalem)
223,Palestine,The West Bank (Excluding East Jerusalem)
224,Palestine,The West Bank (Excluding East Jerusalem)
225,Palestine,The West Bank (Excluding East Jerusalem)
226,Palestine,The West Bank (Excluding East Jerusalem)
227,Palestine,The West Bank (Excluding East Jerusalem)
228,Palestine,The West Bank (Excluding East Jerusalem)
229,Palestine,The West Bank (Excluding East Jerusalem)
230,Palestine,The West Bank (Excluding East Jerusalem)
231,Palestine,The West Bank (Excluding East Jerusalem)
232,Palestine,East Jerusalem
233,Palestine,East Jerusalem
234,Palestine,East Jerusalem
235,Palestine,East Jerusalem
236,Palestine,The West Bank (Excluding East Jerusalem)
237,Palestine,The West Bank (Excluding East Jerusalem)
238,Palestine,The West Bank (Excluding East Jerusalem)
239,Palestine,The West Bank (Excluding East Jerusalem)
240,Palestine,The West Bank (Excluding East Jerusalem)
241,Palestine,The West Bank (Excluding East Jerusalem)
242,Palestine,The West Bank (Excluding East Jerusalem)
243,Palestine,The West Bank (Excluding East Jerusalem)
244,Palestine,The West Bank (Excluding East Jerusalem)
245,Palestine,The West Bank (Excluding East Jerusalem)
246,Palestine,The West Bank (Excluding East Jerusalem)
247,Palestine,The West Bank (Excluding East Jerusalem)
248,Palestine,The West Bank (Excluding East Jerusalem)
249,Palestine,East Jerusalem
250,Palestine,East Jerusalem
251,Palestine,East Jerusalem
252,Palestine,East Jerusalem
253,Palestine,The West Bank (Excluding East Jerusalem)
254,Palestine,The West Bank (Excluding East Jerusalem)
255,Palestine,The West Bank (Excluding East Jerusalem)
256,Palestine,The West Bank (Excluding East Jerusalem)
257,Palestine,The West Bank (Excluding East Jerusalem)
258,Palestine,The West Bank (Excluding East Jerusalem)
259,Palestine,The West Bank (Excluding East Jerusalem)
260,Palestine,The West Bank (Excluding East Jerusalem)
261,Palestine,The West Bank (Excluding East Jerusalem)
262,Palestine,The West Bank (Excluding East Jerusalem)
263,Palestine,The West Bank (Excluding East Jerusalem)
264,Palestine,The West Bank (Excluding East Jerusalem)
265,Palestine,East Jerusalem
266,Palestine,East Jerusalem
267,Palestine,East Jerusalem
268,Palestine,East Jerusalem
269,Palestine,The West Bank (Excluding East Jerusalem)
